Algorithm: Binary Search Tree | Array Size: 1000000 | Order: Descending | Avg Time: 0.040527 ms
Array Size: 1000000 | Order: Descending | Iteration: 1 | Time: 0.004323 ms
Array Size: 1000000 | Order: Descending | Iteration: 2 | Time: 0.085948 ms
Array Size: 1000000 | Order: Descending | Iteration: 3 | Time: 0.074699 ms
Array Size: 1000000 | Order: Descending | Iteration: 4 | Time: 0.002825 ms
Array Size: 1000000 | Order: Descending | Iteration: 5 | Time: 0.034842 ms
Algorithm: Binary Search Tree | Array Size: 1000000 | Order: Random | Avg Time: 0.000700 ms
Array Size: 1000000 | Order: Random | Iteration: 1 | Time: 0.000729 ms
Array Size: 1000000 | Order: Random | Iteration: 2 | Time: 0.000631 ms
Array Size: 1000000 | Order: Random | Iteration: 3 | Time: 0.000616 ms
Array Size: 1000000 | Order: Random | Iteration: 4 | Time: 0.000607 ms
Array Size: 1000000 | Order: Random | Iteration: 5 | Time: 0.000918 ms
Algorithm: Binary Search Tree | Array Size: 10000000 | Order: Ascending | Avg Time: 0.025635 ms
Array Size: 10000000 | Order: Ascending | Iteration: 1 | Time: 0.004625 ms
Array Size: 10000000 | Order: Ascending | Iteration: 2 | Time: 0.025259 ms
Array Size: 10000000 | Order: Ascending | Iteration: 3 | Time: 0.018872 ms
Array Size: 10000000 | Order: Ascending | Iteration: 4 | Time: 0.028346 ms
Array Size: 10000000 | Order: Ascending | Iteration: 5 | Time: 0.051075 ms
Algorithm: Binary Search Tree | Array Size: 10000000 | Order: Descending | Avg Time: 0.050619 ms
Array Size: 10000000 | Order: Descending | Iteration: 1 | Time: 0.077404 ms
Array Size: 10000000 | Order: Descending | Iteration: 2 | Time: 0.060521 ms
Array Size: 10000000 | Order: Descending | Iteration: 3 | Time: 0.047445 ms
Array Size: 10000000 | Order: Descending | Iteration: 4 | Time: 0.048369 ms
Array Size: 10000000 | Order: Descending | Iteration: 5 | Time: 0.019359 ms
Algorithm: Binary Search Tree | Array Size: 10000000 | Order: Random | Avg Time: 0.000767 ms
Array Size: 10000000 | Order: Random | Iteration: 1 | Time: 0.000748 ms
Array Size: 10000000 | Order: Random | Iteration: 2 | Time: 0.000648 ms
Array Size: 10000000 | Order: Random | Iteration: 3 | Time: 0.000928 ms
Array Size: 10000000 | Order: Random | Iteration: 4 | Time: 0.000859 ms
Array Size: 10000000 | Order: Random | Iteration: 5 | Time: 0.000656 ms
Algorithm: Binary Search Tree | Array Size: 100000000 | Order: Ascending | Avg Time: 0.056093 ms
Array Size: 100000000 | Order: Ascending | Iteration: 1 | Time: 0.069840 ms
Array Size: 100000000 | Order: Ascending | Iteration: 2 | Time: 0.049388 ms
Array Size: 100000000 | Order: Ascending | Iteration: 3 | Time: 0.064911 ms
Array Size: 100000000 | Order: Ascending | Iteration: 4 | Time: 0.001423 ms
Array Size: 100000000 | Order: Ascending | Iteration: 5 | Time: 0.094904 ms
Algorithm: Binary Search Tree | Array Size: 100000000 | Order: Descending | Avg Time: 0.038301 ms
Array Size: 100000000 | Order: Descending | Iteration: 1 | Time: 0.004419 ms
Array Size: 100000000 | Order: Descending | Iteration: 2 | Time: 0.075483 ms
Array Size: 100000000 | Order: Descending | Iteration: 3 | Time: 0.025328 ms
Array Size: 100000000 | Order: Descending | Iteration: 4 | Time: 0.043526 ms
Array Size: 100000000 | Order: Descending | Iteration: 5 | Time: 0.042751 ms
Algorithm: Binary Search Tree | Array Size: 100000000 | Order: Random | Avg Time: 0.000679 ms
Array Size: 100000000 | Order: Random | Iteration: 1 | Time: 0.000757 ms
Array Size: 100000000 | Order: Random | Iteration: 2 | Time: 0.000709 ms
Array Size: 100000000 | Order: Random | Iteration: 3 | Time: 0.000631 ms
Array Size: 100000000 | Order: Random | Iteration: 4 | Time: 0.000767 ms
Array Size: 100000000 | Order: Random | Iteration: 5 | Time: 0.000532 ms
Algorithm: Binary Search Tree | Array Size: 1000000000 | Order: Ascending | Avg Time: 0.051533 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 1 | Time: 0.053953 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 2 | Time: 0.048391 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 3 | Time: 0.055163 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 4 | Time: 0.067999 ms
Array Size: 1000000000 | Order: Ascending | Iteration: 5 | Time: 0.032161 ms
Algorithm: Binary Search Tree | Array Size: 1000000000 | Order: Descending | Avg Time: 0.036078 ms
Array Size: 1000000000 | Order: Descending | Iteration: 1 | Time: 0.040997 ms
Array Size: 1000000000 | Order: Descending | Iteration: 2 | Time: 0.042218 ms
Array Size: 1000000000 | Order: Descending | Iteration: 3 | Time: 0.037517 ms
Array Size: 1000000000 | Order: Descending | Iteration: 4 | Time: 0.038300 ms
Array Size: 1000000000 | Order: Descending | Iteration: 5 | Time: 0.021359 ms
Algorithm: Binary Search Tree | Array Size: 1000000000 | Order: Random | Avg Time: 0.000724 ms
Array Size: 1000000000 | Order: Random | Iteration: 1 | Time: 0.000731 ms
Array Size: 1000000000 | Order: Random | Iteration: 2 | Time: 0.000679 ms
Array Size: 1000000000 | Order: Random | Iteration: 3 | Time: 0.000688 ms
Array Size: 1000000000 | Order: Random | Iteration: 4 | Time: 0.000475 ms
Array Size: 1000000000 | Order: Random | Iteration: 5 | Time: 0.001047 ms
