Array Size: 50000 | Order: Descending | Iteration: 3 | Time: 33085 ns
Array Size: 50000 | Order: Descending | Iteration: 4 | Time: 33169 ns
Array Size: 50000 | Order: Descending | Iteration: 5 | Time: 33106 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 50000 | Order: Random | Avg Time: 137 ns
Array Size: 50000 | Order: Random | Iteration: 1 | Time: 325 ns
Array Size: 50000 | Order: Random | Iteration: 2 | Time: 109 ns
Array Size: 50000 | Order: Random | Iteration: 3 | Time: 87 ns
Array Size: 50000 | Order: Random | Iteration: 4 | Time: 102 ns
Array Size: 50000 | Order: Random | Iteration: 5 | Time: 62 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 1000000 | Order: Ascending | Avg Time: 18513 ns
Array Size: 1000000 | Order: Ascending | Iteration: 1 | Time: 18534 ns
Array Size: 1000000 | Order: Ascending | Iteration: 2 | Time: 18605 ns
Array Size: 1000000 | Order: Ascending | Iteration: 3 | Time: 18424 ns
Array Size: 1000000 | Order: Ascending | Iteration: 4 | Time: 18634 ns
Array Size: 1000000 | Order: Ascending | Iteration: 5 | Time: 18368 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 1000000 | Order: Descending | Avg Time: 3611 ns
Array Size: 1000000 | Order: Descending | Iteration: 1 | Time: 3813 ns
Array Size: 1000000 | Order: Descending | Iteration: 2 | Time: 3557 ns
Array Size: 1000000 | Order: Descending | Iteration: 3 | Time: 3492 ns
Array Size: 1000000 | Order: Descending | Iteration: 4 | Time: 3626 ns
Array Size: 1000000 | Order: Descending | Iteration: 5 | Time: 3570 ns
Algorithm: search.BinarySearchTreeSearcher | Array Size: 1000000 | Order: Random | Avg Time: 231 ns
Array Size: 1000000 | Order: Random | Iteration: 1 | Time: 772 ns
Array Size: 1000000 | Order: Random | Iteration: 2 | Time: 153 ns
Array Size: 1000000 | Order: Random | Iteration: 3 | Time: 89 ns
Array Size: 1000000 | Order: Random | Iteration: 4 | Time: 69 ns
Array Size: 1000000 | Order: Random | Iteration: 5 | Time: 75 ns
